Ramo;Codigo;Nome;Apelido;Razao social;Situacao;Contato;E-mail do contato;Inscricao municipal;Codigo do municipio;Endereco fiscal;Numero;Complemento;Bairro fiscal;Cidade fiscal;UF fiscal;CEP fiscal;Endereco cobranca;Numero;Complemento;Bairro cobranca;Cidade cobranca;UF cobranca;CEP cobranca;Telefone (1);Telefone (2);Fax;Celular;Zona fiscal;SUFRAMA;Tipo pessoa;CNPJ/CPF;Ultima venda ;Inscr.estadual/R.G.;Cod.representante;Nome representante;2  DOC./CRM   ;UF;Endereco de entrega 1;Endereco de entrega 2;Endereco de entrega 3;Endereco de entrega 4;Endereco de entrega 5;Ultima NF emitida;Data ultima NF emitida;Limite credito;Cod.plano pagto;Plano pagto;Observacoes;Tipo;Codigo;Especialidade;Em uso?;Data de cadastro;Transportadora;Lista de precos;Portador;Carteira;Codigo de terceiro;Ultima atualizacao;Grupo de cliente;Descricao do grupo de cliente;Emite NF?
1;11;BRIGHT PE;BRIGHT PE;BRIGHT COMERCIO DE MATERIAIS MEDICOS LTDA;Liberado com limite de credito  ;Camila Jucene;;          ;2611606;MIGUEL DE CERVANTES                ;60;SALA 1303 EMP P;ILHA DO LEITE;RECIFE;PE;50070525;MIGUEL DE CERVANTES                ;60;SALA 1303 EMP P;ILHA DO LEITE;RECIFE;PE;50070525;81 3071-9145;;;;Mercado interno;;C-Pessoa juridica contribuinte;'13859375000153;13/12/2024;'065440021;1;SURGICAL;';;;;;;;31.430;13/12/2024;0;   ;;;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;06/11/2024;4;BRIGHT                             ;Opcional com default SIM
1;12;DELTA MEDICAL;DELTA MEDICAL;DELTA MEDICAL BRASILIA COMERCIO DE PRODUTOS HOSPIT;Liberado com limite de credito  ;OSVALDO;osvaldo@deltamedicalbrasilia.com.br;          ;5300108;SIA TRECHO 4                       ;2000;BLOCO F SALA 10;ZONA INDUSTRIAL (GUA;BRASILIA;DF;71200040;SIA TRECHO 4                       ;2000;BLOCO F SALA 10;ZONA INDUSTRIAL (GUA;BRASILIA;DF;71200040;81 3468-6081;;;;Mercado interno;;C-Pessoa juridica contribuinte;'13875938000105;13/01/2025;'0757757200131;34;PEDRO;';;;;;;;31.521;13/01/2025;0;   ;;AFE SEM TRANSPORTE - AUTOR. P/ TRANSPORTE VEIC. PRO. - REV05;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;10/01/2025;9;DELTA MEDICAL                      ;Opcional com default SIM
1;13;GE HOSPITALAR LTDA;GE HOSPITALAR;GE HOSPITALAR LTDA;Liberado com limite de credito  ;DENISE;joao@gehospitalar.com.br, marcolotti@gehospitalar.com.br;          ;3106200;ENGENHEIRO BALEEIRO                ;139;;JARDIM MONTANHES;BELO HORIZONTE;MG;30750040;ENGENHEIRO BALEEIRO                ;139;;JARDIM MONTANHES;BELO HORIZONTE;MG;30750040;31 34197062;;;;Mercado interno;;C-Pessoa juridica contribuinte;'25456112000182;23/12/2024;'0626162160032;34;PEDRO;';;;;;;;31.477;23/12/2024;0;   ;;AFE SEM TRANSPORTE - DECLARAÇÃO           REV05;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;26/11/2024;12;GE HOSPITALAR                      ;Opcional com default SIM
1;14;IMPLANTUS;IMPLANTUS;IMPLANTUS COMERCIO E REPRESENTACAO DE PRODUTOS HOS;Venda proibida                  ;RUTH / HERIK;;          ;1501402;DOM ROMUALDO DE SEIXAS             ;429;ANDAR 4;UMARIZAL;BELEM;PA;66050110;DOM ROMUALDO DE SEIXAS             ;429;ANDAR 4;UMARIZAL;BELEM;PA;66050110;91 30382621;;;;Mercado interno;;C-Pessoa juridica contribuinte;'83335448000193;09/04/2024;'151699593;1;SURGICAL;';;;;;;;701;09/04/2024;0;   ;;AFE COM TRANSPORTE - REV05 - SEM CONTRATO;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;19/12/2024;64;IMPLANTUS                          ;Opcional com default SIM
1;15;INOVAR MEDICAL;INOVAR MEDICAL;INOVAR MEDICAL COMERCIO DE MATERIAL HOSPITALAR LTD;Liberado com limite de credito  ;RAFAEL;compras@alphasurgical.com.br,supervisaofaturamento@alphasurgical.com.br,gq@alphasurgical.com.br     ;          ;3304557;AV JOSE SILVA DE AZEVE NETO        ;200;BL 5 LOJ 140;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;22775056;AV JOSE SILVA DE AZEVE NETO        ;200;BL 5 LOJ 140;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;22775056;21 27840750;;;;Mercado interno;;C-Pessoa juridica contribuinte;'22436766000156;04/12/2024;'86922037;34;PEDRO;';;;;;;;31.394;04/12/2024;0;   ;;AFE SEM TRANSPORTE - DECLARAÇÃO;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;08/11/2024;3;GRUPO ALPHA                        ;Opcional com default SIM
1;16;KOLPLAST CI SA;KOLPLAST CI SA;KOLPLAST CI SA;Liberado com limite de credito  ;IVANAILTON;ivanailton@jpmedycal.com.br,helbert@jpmedycal.com.br,estoque@jpmedycal.com.br                       ;          ;3524006;ESTRADA MUNICIPAL BENEDITO DE SOUZA;418;;MINA;ITUPEVA;SP;13299364;ESTRADA MUNICIPAL BENEDITO DE SOUZA;418;;MINA;ITUPEVA;SP;13299364;71 30173485;;;;Mercado interno;;C-Pessoa juridica contribuinte;'59231530000193;          ;'388037798115;1;SURGICAL;';;;;;;;       ;          ;0;   ;;;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;11/11/2022;;;Opcional com default SIM
1;17;LOCUSMED;LOCUSMED;LOCUSMED COMERCIO, SERVICOS E REPRESENTACOES LTDA;Liberado com limite de credito  ;FINANCEIRO;financeiro@locusmed.com.br;          ;2800308;AV. DOUTOR JOSE MACHADO DE SOUZA   ;220;SA 1406;JARDINS;ARACAJU;SE;49025740;AV. DOUTOR JOSE MACHADO DE SOUZA   ;220;SA 1406;JARDINS;ARACAJU;SE;49025740;;;;;Mercado interno;;C-Pessoa juridica contribuinte;'29979727000144;27/01/2025;'271596716;1;SURGICAL;';;;;;;;31.597;27/01/2025;0;   ;;AFE COM TRANSPORTE - REV05;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;08/11/2024;21;LOCUS                              ;Opcional com default SIM
1;18;MEDICAL SUPPORT;MEDICAL SUPPORT;MEDICAL SUPPORT MATERIAIS MEDICOS E HOSPITALARES L;Liberado com limite de credito  ;MARLUS;financeiro@medicalsupport.com.br,compras@medicalsupport.com.br,faturamento@medicalsupport.com.br    ;          ;3543402;RUI BARBOSA                        ;1145;SALA 818283 E 8;CENTRO;RIBEIRAO PRETO;SP;14015120;RUI BARBOSA                        ;1145;SALA 818283 E 8;CENTRO;RIBEIRAO PRETO;SP;14015120;16 3236-3686;;;;Mercado interno;;C-Pessoa juridica contribuinte;'13928215000119;16/01/2025;'582898650119;34;PEDRO;';;;;;;;996;16/01/2025;0;   ;;AFE COM TRANSPORTE - REV05;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;14/01/2025;23;MEDICAL SUPPORT                    ;Opcional com default SIM
1;19;MEDIMPLANT COMERCIO IMPORTACAO E EX;MEDIMPLANT;MEDIMPLANT COMERCIO IMPORTACAO E EXPORTACAO LTDA;Venda proibida                  ;MARCELO;raimundo@medimplant.com.br,compras@medimplant.com.br, supervisao@medimplant.com.br                  ;          ;2927408;SALVADOR                           ;1057;EDIF AMERICA BL;CAMINHO DAS ARVORES;SALVADOR;BA;41820790;SALVADOR                           ;1057;EDIF AMERICA BL;CAMINHO DAS ARVORES;SALVADOR;BA;41820790;71 3311-9150;;;;Mercado interno;;C-Pessoa juridica contribuinte;'09255362000106;          ;'075999934;1;SURGICAL;';;;;;;;       ;          ;0;   ;;EMPRESA SEM ATUALIZAÇÃO DE QUALIFICAÇÃO.;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;10/07/2023;;;Opcional com default SIM
1;20;NOBRE MEDICAL;NOBRE MEDICAL;NOBRE MEDICAL PRODUTOS MEDICOS IMPORTACAO E EXPORT;Liberado com limite de credito  ;MOISES / FRANCIELE;moises@nobremedical.com.br, francielle@nobremedical.com.br, milton@nobremedical.com.br, francisco@no;          ;5208707;T 36;3182;QUADRA147 LOTE;SETOR BUENO;GOIANIA;GO;74223052;T 36;3182;QUADRA147 LOTE;SETOR BUENO;GOIANIA;GO;74223052;62 10.188.449-;;;;Mercado interno;;C-Pessoa juridica contribuinte;'26681270000107;26/03/2024;'101884494;34;PEDRO;';;;;;;;31.049;19/09/2024;0;   ;;AFE COM TRANSPORTE - REV05;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;13/01/2025;30;NOBRE MEDICAL                      ;Opcional com default SIM
1;21;FABRICASE EMBALAGENS LTDA;FABRICASE EMBALAGENS LTDA;FABRICASE EMBALAGENS LTDA;Liberado com limite de credito  ;CLEMILSON;carlos.silva@inomedical.com.br, logistica@inomedical.com.br;          ;3550308;RUA CIRIDIAO DURVAL                ;142;;JABAQUARA;SAO PAULO;SP;4360020;RUA CIRIDIAO DURVAL                ;142;;JABAQUARA;SAO PAULO;SP;4360020;11 342424444;;;;Mercado interno;;C-Pessoa juridica contribuinte;'03495939000162;          ;'115561788110;1;SURGICAL;';;;;;;;       ;          ;0;   ;;;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;11/11/2022;;;Opcional com default SIM
1;22;PROMED;PROMED;PROMED MATERIAIS CIRURGICOS LTDA;Liberado com limite de credito  ;JULIANA RAMALHO;financeiro@promedmatcirurgicos.com;          ;2507507;CARLOS GOMES                       ;240;;EXPEDICIONARIOS;JOAO PESSOA;PB;58040080;CARLOS GOMES                       ;240;;EXPEDICIONARIOS;JOAO PESSOA;PB;58040080;83 35126923;;;;Mercado interno;;C-Pessoa juridica contribuinte;'11278315000111;29/01/2025;'161637124;1;SURGICAL;';;;;;;;31.609;29/01/2025;0;   ;;AFE COM TRANSPORTE -REV05;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;28/11/2024;37;PROMED                             ;Opcional com default SIM
1;23;O3M MEDICINA;O3M MEDICINA;O3M SOLUCOES EM MEDICINA LTDA;Liberado com limite de credito  ;CLEMILSON;qualidade@o3m.com.br, clemilson.tavares@inomedical.com.br;          ;3550308;PEREIRA ESTEFANO                   ;114;SALA 911 E 912;VILA DA SAUDE;SAO PAULO;SP;4144070;PEREIRA ESTEFANO                   ;114;SALA 911 E 912;VILA DA SAUDE;SAO PAULO;SP;4144070;11 4395-7570;;;;Mercado interno;;C-Pessoa juridica contribuinte;'42779517000170;29/01/2025;'131611768110;34;PEDRO;';;;;;;;31.611;29/01/2025;0;   ;;AFE COM TRANSPORTE - REV05;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;20/12/2024;33;O3M / INOMEDICAL                   ;Opcional com default SIM
1;24;PROSURG;PROSURG;PROSURG PRODUTOS MEDICOS LTDA.;Venda proibida                  ;TATIANE / FELIPE DALPRA;tatiane.ostrowski@prosurg.com.br, alexsandra.sarmento@prosurg.com.br, felipe.dalpra@prosurg.com.br  ;          ;4106902;PARANA                             ;2288;ANDAR 5, ES 51,;BACACHERI;CURITIBA;PR;82510000;PARANA                             ;2288;ANDAR 5, ES 51,;BACACHERI;CURITIBA;PR;82510000;41 33575721;;;;Mercado interno;;C-Pessoa juridica contribuinte;'04907399000140;27/03/2023;'9025936911;1;SURGICAL;';;;;;;;377;27/03/2023;0;   ;;SEM CONTRATO - AFE SEM TRANSPORTE: DECALRAÇÃO - REV05;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;05/12/2024;38;PROSURG                            ;Opcional com default SIM
1;25;RADIOMED;RADIOMED;RADIOMED COMERCIO E IMPORTACAO LTDA;Venda proibida                  ;JANETE;matheus.silva@radiomed.med.br, caio.martinhago@radiomed.med.br, janete.morais@radiomed.med.br       ;2173740000;3550308;ALAMEDA LORENA 1304                ;1304;CONJ 1604 AO 16;JARDIM PAULISTA;SAO PAULO;SP;1424906;ALAMEDA LORENA 1304                ;1304;CONJ 1604 AO 16;JARDIM PAULISTA;SAO PAULO;SP;1424906;11974024516;;;;Mercado interno;;C-Pessoa juridica contribuinte;'71785687000166;25/07/2024;'113916490119;34;PEDRO;';;;;;;;30.736;25/07/2024;0;   ;;trato;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;19/11/2024;40;RADIOMED                           ;Opcional com default SIM
1;26;SAGA MEDICAL AM;SAGA MEDICAL AM;SAGA MEDICAL COMERCIO DE MATERIAIS MEDICO HOSPITAL;Liberado com limite de credito  ;KELMA;estoque@sagamedical.com.br;          ;1302603;NOVA PRATA                         ;122;CONJ VIEIRALVES;NOSSA SENHORA DAS GR;MANAUS;AM;69053010;NOVA PRATA                         ;122;CONJ VIEIRALVES;NOSSA SENHORA DAS GR;MANAUS;AM;69053010;91 33432209;;;;Mercado interno;;C-Pessoa juridica contribuinte;'17879231000110;16/01/2025;'053368592;34;PEDRO;';;;;;;;31.576;23/01/2025;0;   ;;AFE COM TRANSPORTE - REV05;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;11/12/2024;43;SAGA MEDICAL                       ;Opcional com default SIM
1;27;SIM MEDICAL;SIM MEDICAL;SIM MEDICAL COMERCIO, IMPORTACAO E EXPORTACAO DE P;Liberado com limite de credito  ;JONATHAN / CAROL;logistica@simmedical.com.br, financeiro@simmedical.com.br;          ;3550308;JABAQUARA                          ;1909;SALA 61;MIRANDOPOLIS;SAO PAULO;SP;4045003;JABAQUARA                          ;1909;SALA 61;MIRANDOPOLIS;SAO PAULO;SP;4045003;11  4314-5014;;;;Mercado interno;;C-Pessoa juridica contribuinte;'24914380000138;24/10/2024;'140892701110;1;SURGICAL;';;;;;;;31.331;21/11/2024;0;   ;;AFE COM TRANSPORTE - REV05;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;26/11/2024;44;GRUPO SIM MEDICAL                  ;Opcional com default SIM
1;28;SURGICAL PRIME;SURGICAL PRIME;SURGICAL PRIME COMERCIO DE MATERIAL HOSPITALAR LTD;Liberado com limite de credito  ;FINANCEIRO;orcamento@surgicalprime.com.br,gestao@surgicalprime.com.br;          ;3304557;AV. OSE SILVA DE AZEVE NETO        ;200;BL 05  SL 2;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;22775056;AV. OSE SILVA DE AZEVE NETO        ;200;BL 05  SL 2;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;22775056;21 997420907;;;;Mercado interno;;C-Pessoa juridica contribuinte;'23714761000100;30/01/2025;'87057631;34;PEDRO;';;;;;;;31.621;30/01/2025;0;   ;;AFE SEM TRANSPORTE - DECLARAÇÃO                 REV05;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;26/11/2024;3;GRUPO ALPHA                        ;Opcional com default SIM
1;29;SURGILINE;SURGILINE;SURGILINE MEDICINA ESPECIALIZADA LTDA;Liberado com limite de credito  ;FINANCEIRO SURGILINE;logistica@surgiline.com.br, financeiro@surgiline.com.br;          ;3205309;AVENIDA NOSSA SENHORA DA PENHA     ;699;SALA 1013;SANTA LUCIA;VITORIA;ES;29056250;AVENIDA NOSSA SENHORA DA PENHA     ;699;SALA 1013;SANTA LUCIA;VITORIA;ES;29056250;27 30970160;;;;Mercado interno;;C-Pessoa juridica contribuinte;'20180416000146;24/01/2025;'083025316;34;PEDRO;';;;;;;;31.581;24/01/2025;0;   ;;AFE COM TRANSPORTE - REV05 - Retorno Equip;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;20/12/2024;47;SURGILINE                          ;Opcional com default SIM
1;30;TECNOMEDICAL;TECNOMEDICAL;TECNOMEDICAL PRODUTOS MEDICOS LTDA;Liberado com limite de credito  ;BIANCA TORQUES;bianca torques;          ;4106902;PARANA                             ;2288;ANDAR 6 LOJA 01;BACACHERI;CURITIBA;PR;82510000;PARANA                             ;2288;ANDAR 6 LOJA 01;BACACHERI;CURITIBA;PR;82510000;41 3052-6069;;;;Mercado interno;;C-Pessoa juridica contribuinte;'81178469000117;30/01/2025;'1017197319;108;HENRIQUE;';;;;;;;31.620;30/01/2025;0;   ;;AFE COM TRANSPORTE - REV05;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;21/01/2025;48;TECNOMEDICAL                       ;Opcional com default SIM
1;31;X-SAFE SJC;X-SAFE SJC;X - SAFE COMERCIO DE PRODUTOS MEDICOS HOSPITALARES;Liberado com limite de credito  ;NICOLE1;nicole.fiuza@x-safe.med.br;          ;3549904;SALMAO                             ;568;SALA 12 E 13;PARQUE RESIDENCIAL A;SAO JOSE DOS CAMPOS;SP;12246260;SALMAO                             ;568;SALA 12 E 13;PARQUE RESIDENCIAL A;SAO JOSE DOS CAMPOS;SP;12246260;11 30897292;;;;Mercado interno;;C-Pessoa juridica contribuinte;'11820103000203;22/06/2023;'645751507117;1;SURGICAL;';;;;;;;29.049;22/06/2023;0;   ;;AFE SEM TRANSPORTE - DECLARAÇÃO                 REV05;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;05/12/2024;50;GRUPO X-SAFE                       ;Opcional com default SIM
1;32;X-SAFE SP;X-SAFE SP;X - SAFE COMERCIO DE PRODUTOS MEDICOS HOSPITALARES;Liberado com limite de credito  ;NICOLE;financeiro@x-safe.med.br, nicole.fiuza@x-safe.med.br, faturamento@x-safe.med.br, fabio.maciel@x-safe;          ;3548807;TERRACOTA                          ;185;ANDAR 5 CONJ 50;CERAMICA;SAO CAETANO DO SUL;SP;9531190;TERRACOTA                          ;185;ANDAR 5 CONJ 50;CERAMICA;SAO CAETANO DO SUL;SP;9531190;1139897292;;;;Mercado interno;;C-Pessoa juridica contribuinte;'11820103000114;13/10/2023;'636251737118;1;SURGICAL;';;;;;;;31.043;18/09/2024;0;   ;;AFE COM TRANSPORTE - REV05;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;05/12/2024;50;GRUPO X-SAFE                       ;Opcional com default SIM
