Codigo produto;;Descricao do produto;Estoque total interno (disponivel+reserva);Estoque reserva;Estoque disponivel;Estoque minimo;Valor do custo medio unitario;Valor da ultima compra;Valor da ultima compra em moeda;Saidas (demanda) mes anterior 1;Saidas (demanda) mes anterior 2;Saidas (demanda) mes anterior 3;Saidas (demanda) mes anterior 4;Tipo da moeda;Tipo do produto;Servico correspondente;Estoque nao conforme;Indicador de calculo do estoque minimo;Marca do produto;Tipo do conjunto;Topico;Indicador de inventario;CST de ICMS;Aliquota ICMS interna;Codigo do convenio;Categoria do convenio;Quantidade maxima para cobranca;Numero registro MS/ANVISA;Data validade do registro MS/ANVISA;Codigo da etiqueta MS/ANVISA;NCM;Indicador de controle de lote;Estoque externo;Estoque total;Controle de validade;Produto esteril;Tipo calculo estoque minimo;Quantidade de dias estoque minimo;Fornecedor preferencial;Codigo de referencia;Unidade compra/Quantidade embalagem;Codigo interno do produto;Situacao do produto;Data da ultima saida;Tipo de remessa do produto;Aliquota de IPI para compra;Aliquota de IPI para venda;Mensagem para tributacao de ICMS;Data da ultima compra;Estoque deposito externo;Valor de reposicao;Codigo para tributacao de ICMS;Codigo para tributacao de IPI;Localizacao no estoque;Estoque Segregado;Descricao comercial;Observacoes internas;Tipo;Grupo do produto;Percentual de PIS para saida;Percentual de COFINS para saida;Data de cadastro;Funcionario responsavel pelo cadastro;CEST-Codigo especificador Substituicao Tributaria;Tipo da data de validade do lote;Data do primeiro movimento de estoque;Data do ultimo movimento de estoque;Codigo TUSS;Classificacao de risco MS/ANVISA;Unidade de venda;Descricao completa - portugues;Descricao completa - importacao/exportacao;Saldo em Conjunto Interno;Saldo em Conjunto Externo;Peso Bruto;Peso Liquido;GTIN-13 do fabricante;EX TIPI;Produto exige registro ANVISA?;Estoque em quarentena;Fator conversao unid.comercial p/unid.tributavel;Codigo identitificador;Perfil para determinacao tributos federais;Quantidade de anos de validade
'1340;0;SIST. ELET. EXTENSOES P/ESTIMU;4;0;4;0;3.311,03;3.424,32;3.424,32;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;SCENERAY CORPORATION;Nao e conjunto;55-NEUROFUNCIONAL;Fisico=SIM - Fiscal=SIM;'000;18;;;SEM limite;80410900059;01/06/2030;1;9021.90.19;Controle total lote;0;4;SIM Qt.anos= 4 DD/MM/AA;SIM;Calculo Manual;60;02/     6-SCENERAY CORPO;'1340;UN /      1;161;Ativo em catalogo;17/08/2023;1-IMPLANT./DESCART(REVENDA);0;0;0;27/07/2023;0;3.567,00;NACIONAL TRIB.;ISENTO;;0;6 SISTEMA DE ELETRODOS E EXTENSOES PARA ESTIMULACAO C;;551-NEUROFUNCIONAL;001-DBS;1,65;7,6;22/12/2022;998-VIMAN;;Dia/mes/ano (DD/MM/AA);04/01/2023;02/01/2024;;IV-Maximo risco;UN;6 SISTEMA DE ELETRODOS E EXTENSOES PARA ESTIMULACAO C;;0;0;0;0;;;Sim;0;1;;;4
'1510;0;GERADOR PULSO EXT. P/ESTIMULAC;1;0;1;0;2.936,17;0;0;0;0;0;1;01 - DOLAR;Normal;;0;S-Lista;SCENERAY CORPORATION;Nao e conjunto;55-NEUROFUNCIONAL;Fisico=SIM - Fiscal=SIM;'000;18;;;SEM limite;80410900060;22/06/2030;1;9021.90.19;Controle total lote;0;1;SIM Qt.anos= 3 DD/MM/AA;SIM;Calculo Manual;;02/     6-SCENERAY CORPO;'1510;UN /      1;99;Ativo em catalogo;18/09/2023;1-IMPLANT./DESCART(REVENDA);0;0;0;;0;0;NACIONAL TRIB.;ISENTO;;0;6 GERADOR DE PULSO EXTERNO PARA ESTIMULACAO CEREBRAL;;551-NEUROFUNCIONAL;001-DBS;1,65;7,6;22/12/2022;998-VIMAN;;Dia/mes/ano (DD/MM/AA);04/01/2023;02/12/2023;;III-Alto risco;UN;6 GERADOR DE PULSO EXTERNO PARA ESTIMULACAO CEREBRAL;;0;0;0;0;;;Sim;0;1;;;3
'217000;0;C3 CRYO SYSTEM;0;0;0;0;41.526,71;0;0;0;0;0;0;01 - DOLAR;Normal;;1;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'100;18;;;SEM limite;81086970013;Vigente;1;9018.19.80;Controle total lote;0;0;NAO;NAO;Calculo Manual;60;02/     2-SURGICAL LINE;'217000;UN /      1;37;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;DIRETO TRIB.;ISENTO;;0;C3 CRYO SYSTEM;;751-CRIOTERAPIA;001-C3;1,65;7,6;22/12/2022;998-VIMAN;;;13/01/2023;30/08/2023;;II-Medio risco;UN;C3 CRYO SYSTEM;;0;0;0;0;;;Sim;0;1;;;0
'217010;0;PEDAL C3 FOOTSWITCH;0;0;0;0;1.834,92;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'100;18;;;SEM limite;81086970013;Vigente;1;9018.19.90;Controle total lote;0;0;NAO;NAO;Calculo Manual;60;02/     2-SURGICAL LINE;'217010;UN /      1;175;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;DIRETO TRIB.;ISENTO;;1;PEDAL C3 FOOTSWITCH;;751-CRIOTERAPIA;001-C3;1,65;7,6;22/12/2022;998-VIMAN;;;04/01/2023;04/01/2023;;II-Medio risco;UN;PEDAL C3 FOOTSWITCH;;0;0;0;0;;;Sim;0;1;;;0
'217020;0;MANGUEIRA ALTA PRESSAO C3 CRYO;0;0;0;0;521,73;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'100;18;;;SEM limite;81086970013;Vigente;1;9018.19.90;Controle total lote;0;0;NAO;NAO;Calculo Manual;60;02/     8-INOMED MEDIZIN;'217020;UN /      1;163;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;DIRETO TRIB.;ISENTO;;1;MANGUEIRA DE ALTA PRESSAO PARA C3 CRYO;;751-CRIOTERAPIA;001-C3;1,65;7,6;22/12/2022;998-VIMAN;;;04/01/2023;04/01/2023;;II-Medio risco;UN;MANGUEIRA DE ALTA PRESSAO PARA C3 CRYO;;0;0;0;0;;;Sim;0;1;;;0
'217030;0;ADAPTADOR DO CILINDRO GAS CO2;0;0;0;0;521,73;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'100;18;;;SEM limite;81086970013;Vigente;1;9018.19.90;Controle total lote;0;0;NAO;NAO;Calculo Manual;60;02/     8-INOMED MEDIZIN;'217030;UN /      1;12;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;DIRETO TRIB.;ISENTO;;1;ADAPTADOR DO CILINDRO DE GAS CO2;;751-CRIOTERAPIA;001-C3;1,65;7,6;22/12/2022;998-VIMAN;;;04/01/2023;04/01/2023;;II-Medio risco;UN;ADAPTADOR DO CILINDRO DE GAS CO2;;0;0;0;0;;;Sim;0;1;;;0
'23.03210;0;GERADOR DE FUNCOES MOD GF 220;0;0;0;0;0;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'040;0;;;SEM limite;;;1;9030.89.90;Controle total lote;0;0;NAO;NAO;Calculo automatico;60;02/     2-SURGICAL LINE;'23.03210;UN /      1;506;Ativo em catalogo;;3-ESTOQUE IMOBILIZADO;0;0;0;;0;0;NACIONAL ISENTO;ISENTO;;0;GERADOR DE FUNCOES MOD GF 220 DIGITAL FAIXA 0 1HZ A 2MHZ;;753-MONITORIZACAO;001-C2;0;0;10/07/2023;15-PAULO S.;;;00/00/00;00/00/00;;;UN;;;0;0;0;0;;;Nao;0;1;;;0
'230767;0;MICRO MACRO ELETRODO 0,8;0;0;0;0;1.820,16;1.820,16;1.820,16;0;0;6;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;55-NEUROFUNCIONAL;Fisico=SIM - Fiscal=SIM;'260;0;;;SEM limite;81086970011;30/07/2025;1;9018.90.50;Controle total lote;0;0;SIM Qt.anos= 4 DD/MM/AA;SIM;Calculo Manual;60;02/     2-SURGICAL LINE;'230767;UN /      1;203;Ativo em catalogo;13/10/2023;1-IMPLANT./DESCART(REVENDA);0;0;0;11/10/2023;0;1.590,81;ICMS C SUBST ST;ISENTO;;0;MICRO MACRO ELETRODO 0,8MM;;551-NEUROFUNCIONAL;002-MICROREGISTRO;1,65;7,6;22/12/2022;998-VIMAN;;Dia/mes/ano (DD/MM/AA);04/01/2023;13/10/2023;;III-Alto risco;UN;MICRO MACRO ELETRODO 0,8MM;;0;0;0;0;;;Sim;0;1;;;4
'230777;0;ELETR. RETO BIPOLAR;2;0;2;0;2.990,06;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;RBTG BRASIL;Nao e conjunto;55-NEUROFUNCIONAL;Fisico=SIM - Fiscal=SIM;'260;0;;;SEM limite;81086970013;Vigente;1;9018.90.50;Controle total lote;1;3;NAO;NAO;Calculo Manual;60;02/     4-RBTG;'230777;UN /      1;165;Ativo em catalogo;;1-IMPLANT./DESCART(REVENDA);0;0;0;;0;0;ICMS C SUBST ST;ISENTO;;0;ELETRODO RETO BIPOLAR, ELETRODO COMBINADO PARA MICRODRIVE IN;;551-NEUROFUNCIONAL;002-MICROREGISTRO;1,65;7,6;22/12/2022;998-VIMAN;;;04/01/2023;02/12/2023;;II-Medio risco;UN;ELETRODO RETO BIPOLAR, ELETRODO COMBINADO PARA MICRODRIVE IN;;0;0;0;0;;;Sim;0;1;;;0
'230843;0;MANDRIN TESTE MICRODRIVE;1;0;1;0;10;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;55-NEUROFUNCIONAL;Fisico=SIM - Fiscal=SIM;'040;0;;;SEM limite;;;1;9018.90.50;Controle total lote;0;1;SIM Qt.anos= 3 DD/MM/AA;SIM;Calculo Manual;;02/     2-SURGICAL LINE;'230843;UN /      1;188;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;NACIONAL ISENTO;ISENTO;;0;MANDRIN TESTE MICRODRIVE;;551-NEUROFUNCIONAL;002-MICROREGISTRO;1,65;7,6;22/12/2022;998-VIMAN;;Dia/mes/ano (DD/MM/AA);04/01/2023;02/12/2023;;;UN;MANDRIN TESTE MICRODRIVE;;0;0;0;0;;;Nao;0;1;;;3
'230865;0;TUBO GUIA UNIVERSAL;13;4;9;2;1.451,03;0;0;0;0;1;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;55-NEUROFUNCIONAL;Fisico=SIM - Fiscal=SIM;'040;0;;;SEM limite;81086970011;30/07/2025;1;9018.90.99;Controle total lote;0;13;SIM Qt.anos= 4 DD/MM/AA;SIM;Calculo Manual;60;02/     2-SURGICAL LINE;'230865;UN /      1;208;Ativo em catalogo;05/10/2023;1-IMPLANT./DESCART(REVENDA);0;0;0;;0;0;NACIONAL ISENTO;ISENTO;;0;TUBO GUIA UNIVERSAL;;551-NEUROFUNCIONAL;002-MICROREGISTRO;0;0;22/12/2022;998-VIMAN;;Dia/mes/ano (DD/MM/AA);04/01/2023;02/12/2023;;III-Alto risco;UN;TUBO GUIA UNIVERSAL;;0;0;0;0;;;Sim;0;1;;;4
